Player,G,MP,FGA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
Amir Coffey,97.0,1264.0,331.0,185.0,99.0,28.0,133.0,92.0,32.0,10.0,36.0,91.0
Isaiah Hartenstein,131.0,1575.0,439.0,20.0,169.0,171.0,291.0,148.0,61.0,103.0,104.0,285.0
Justise Winslow,221.0,5489.0,1914.0,525.0,375.0,203.0,907.0,627.0,191.0,88.0,341.0,489.0
Brandon Boston Jr.,31.0,510.0,214.0,79.0,47.0,10.0,68.0,28.0,17.0,8.0,22.0,25.0
Serge Ibaka,354.0,9412.0,3837.0,1137.0,619.0,585.0,1880.0,419.0,142.0,440.0,492.0,912.0
Nicolas Batum,333.0,10021.0,2869.0,1438.0,593.0,261.0,1463.0,1312.0,338.0,162.0,542.0,506.0
Paul George,359.0,12585.0,6593.0,2876.0,1887.0,315.0,2068.0,1439.0,633.0,154.0,1050.0,963.0
Marcus Morris,353.0,10325.0,4199.0,1764.0,899.0,305.0,1487.0,541.0,224.0,116.0,433.0,807.0
Keon Johnson,15.0,135.0,51.0,11.0,21.0,6.0,15.0,13.0,7.0,2.0,7.0,21.0
Jay Scrubb,18.0,179.0,76.0,28.0,12.0,4.0,21.0,8.0,7.0,3.0,12.0,10.0
Jason Preston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kawhi Leonard,252.0,8345.0,4593.0,1303.0,1694.0,273.0,1377.0,1029.0,441.0,142.0,545.0,413.0
Russell Westbrook,403.0,14402.0,8378.0,1968.0,2895.0,674.0,3381.0,3975.0,655.0,139.0,1905.0,1172.0
Carmelo Anthony,333.0,10105.0,4701.0,1772.0,999.0,279.0,1431.0,552.0,237.0,190.0,457.0,844.0
Malik Monk,275.0,5256.0,2286.0,1204.0,363.0,85.0,503.0,505.0,132.0,67.0,322.0,352.0
Avery Bradley,279.0,7893.0,2804.0,1142.0,278.0,177.0,715.0,512.0,260.0,51.0,375.0,637.0
Dwight Howard,339.0,7945.0,2285.0,43.0,1552.0,1008.0,2315.0,340.0,207.0,392.0,621.0,981.0
LeBron James,358.0,12862.0,6877.0,2061.0,2325.0,385.0,2568.0,3102.0,462.0,247.0,1387.0,631.0
Talen Horton-Tucker,102.0,2219.0,818.0,243.0,198.0,47.0,237.0,270.0,100.0,37.0,159.0,220.0
Wayne Ellington,305.0,7022.0,2389.0,1914.0,223.0,78.0,579.0,354.0,189.0,33.0,187.0,387.0
DeAndre Jordan,369.0,9898.0,2223.0,3.0,1232.0,1155.0,3180.0,580.0,177.0,420.0,583.0,860.0
Austin Reaves,28.0,579.0,116.0,65.0,37.0,12.0,57.0,29.0,8.0,3.0,17.0,43.0
Anthony Davis,331.0,11533.0,6205.0,815.0,2578.0,811.0,2707.0,936.0,465.0,752.0,743.0,738.0
Kent Bazemore,365.0,8832.0,3120.0,1325.0,782.0,168.0,1145.0,780.0,443.0,218.0,586.0,889.0
Stanley Johnson,311.0,5897.0,1714.0,795.0,352.0,145.0,738.0,431.0,279.0,79.0,305.0,576.0
Trevor Ariza,312.0,9970.0,2795.0,1839.0,501.0,202.0,1355.0,693.0,442.0,89.0,315.0,568.0
Sekou Doumbouya,96.0,1639.0,526.0,215.0,114.0,61.0,206.0,66.0,47.0,19.0,81.0,175.0
Mason Jones,34.0,343.0,131.0,68.0,66.0,8.0,49.0,42.0,8.0,1.0,30.0,25.0
Kendrick Nunn,123.0,3612.0,1572.0,711.0,160.0,42.0,317.0,368.0,108.0,29.0,194.0,260.0
Duncan Robinson,204.0,5811.0,1900.0,1631.0,193.0,37.0,605.0,300.0,114.0,48.0,192.0,502.0
P.J. Tucker,410.0,12303.0,2301.0,1433.0,327.0,559.0,1756.0,538.0,474.0,151.0,354.0,1099.0
Dewayne Dedmon,302.0,6137.0,1760.0,491.0,411.0,497.0,1550.0,289.0,196.0,250.0,342.0,814.0
Kyle Lowry,346.0,11999.0,4422.0,2562.0,1434.0,246.0,1499.0,2612.0,431.0,124.0,961.0,970.0
Tyler Herro,147.0,4393.0,2005.0,853.0,338.0,66.0,611.0,458.0,93.0,32.0,294.0,201.0
Gabe Vincent,97.0,1595.0,554.0,347.0,61.0,25.0,108.0,191.0,61.0,12.0,94.0,171.0
Caleb Martin,108.0,1991.0,608.0,264.0,145.0,87.0,238.0,124.0,88.0,39.0,78.0,159.0
Max Strus,77.0,1375.0,510.0,384.0,65.0,21.0,144.0,70.0,22.0,9.0,34.0,102.0
Omer Yurtseven,36.0,545.0,188.0,7.0,50.0,66.0,165.0,41.0,15.0,18.0,34.0,66.0
Jimmy Butler,339.0,11833.0,5005.0,916.0,2626.0,580.0,1465.0,1863.0,647.0,157.0,654.0,489.0
Bam Adebayo,309.0,8564.0,2706.0,45.0,1276.0,657.0,1846.0,1072.0,288.0,277.0,626.0,739.0
KZ Okpala,63.0,717.0,170.0,77.0,28.0,33.0,81.0,34.0,16.0,19.0,21.0,86.0
Markieff Morris,336.0,8186.0,2966.0,1065.0,575.0,344.0,1335.0,511.0,230.0,139.0,452.0,905.0
Kyle Guy,43.0,382.0,141.0,78.0,25.0,6.0,40.0,48.0,10.0,1.0,17.0,32.0
Udonis Haslem,53.0,375.0,104.0,28.0,28.0,19.0,88.0,16.0,7.0,4.0,16.0,51.0
Chris Silva,67.0,504.0,107.0,4.0,80.0,77.0,103.0,32.0,10.0,27.0,46.0,122.0
Victor Oladipo,230.0,7529.0,3684.0,1345.0,860.0,128.0,990.0,892.0,378.0,107.0,550.0,519.0
Pat Connaughton,364.0,7153.0,1866.0,1148.0,210.0,262.0,1034.0,493.0,181.0,116.0,208.0,453.0
